"name"
"Mass Extinction and the Structure of the Milky Way"
"Wikimedia Foundation spending"
"Things to Use Instead of JWT"
"A lot we know about pirates is not true, and a lot of what is true is not known"
"Luther's World: Understanding the man who was the powerhouse of the Reformation"
"Sinatra 2.0 released"
"Shell made a film about climate change in 1991"
"Vy – A Vim-like in Python made from scratch"
"Falklands minefields: de facto nature reserves for penguins"
"A History of CLU – Barbara Liskov (1992) [pdf]"
"Unmanned U.S. Air Force space plane lands after secret, two-year mission"
"Asciidoctor PDF: A native PDF converter for AsciiDoc based on Asciidoctor"
"Understanding Node.js Event-Driven Architecture"
"William Baumol, author of 'cost disease' theory, has died"
"I Broke Rust's Package Manager for Windows Users"
"MTK51 8051 Microcontroller Trainer Kit"
"Show HN: Compressed directories on Linux"
"Eye tracking in video games"
"To Stay Married, Embrace Change"
"Show HN: 100 Million Books – Open a new tab, discover a new book"
"The Anatomical Venus: Wax models used for dissection in the 18th century (2016)"
"Lake Michigan Is So Clear Its Shipwrecks Are Visible from the Air"
"New in Debian stable Stretch: nftables"
"How number words may have changed us from zeroes to heroes"
"Mathematical Treasure: Robert Fludd’s History of the Macrocosm (2014)"
"Richard Rothstein’s the Color of Law, Reviewed"
"Web Search as a Linguistic Tool [pdf]"
"Mystery Science is fixing science education – hiring Head/VP of Engineering"
"My Heroku values (2015)"
"EPA dismisses half of its scientific advisers on key board"
